"text","created","url","latitude","longitude","retweetCount","hashtag"
"One of my top travel memories from 2017 and my recommendation to all - go and see for yourself. I<e2><80><99>ll be going back<e2><80><a6> https://t.co/IIcPGfaeZQ",2018-01-26 07:19:10,"https://twitter.com/bettinaarknaes/status/956788589052006401",NA,NA,0,"#nobannowall"
"Eat these jawns before they're gone https://t.co/sWmmNJL8RN <ed><a0><bd><ed><b8><8b>  #NoBanNoWall #humor",2018-01-26 06:55:29,"https://twitter.com/FullBellyLaughs/status/956782627347947526",NA,NA,0,"#nobannowall"
"When we said #NoBanNoWall and #ImmigrantsAreWelcomeHere, we meant it. Did @SenateDems and @SenSchumer? Demand they<e2><80><a6> https://t.co/xYRbH4ce66",2018-01-26 06:33:36,"https://twitter.com/gms111/status/956777119995985921",NA,NA,0,"#nobannowall"
"FL Senator Marco Rubio apparently taking a hard line on DACA  #DefendDaca #DefendDreamers #NoBanNoWall<e2><80><a6> https://t.co/HzytfRoSVz",2018-01-26 04:51:56,"https://twitter.com/attorneygehi/status/956751537480417280",NA,NA,0,"#nobannowall"
"Texas AG investigating San Antonio PD for ignoring SB-4  #DefendDaca #DefendDreamers #NoBanNoWall #ImmigrantsRights https://t.co/uOwxfUz9wa",2018-01-26 04:41:06,"https://twitter.com/attorneygehi/status/956748810302013440",NA,NA,0,"#nobannowall"
"Fit for a shithole/house. #guggenheim #trump ##fuckdonaldtrump #theresistance #notmypresident #flotus #dumptrump<e2><80><a6> https://t.co/9elHJEfBrU",2018-01-26 04:39:22,"https://twitter.com/blackbenzk/status/956748373373038593",NA,NA,0,"#nobannowall"
"John Kelly working on immigration reform whilst Trump is in Davos  #DefendDaca #DefendDreamers #NoBanNoWall<e2><80><a6> https://t.co/5bpdel1kLO",2018-01-26 04:27:26,"https://twitter.com/attorneygehi/status/956745370620448773",NA,NA,0,"#nobannowall"
"White House releases immigration reform proposal early #DefendDaca #DefendDreamers #NoBanNoWall #ImmigrantsRights https://t.co/sRAQQBoHz1",2018-01-26 04:16:10,"https://twitter.com/attorneygehi/status/956742536692875266",NA,NA,0,"#nobannowall"
"@realDonaldTrump #NoBanNoWall
#SaveDACA https://t.co/qYlPwrv6j7",2018-01-26 03:58:00,"https://twitter.com/chingonaxicana3/status/956737964297502721",NA,NA,0,"#nobannowall"
"Outrageous!  #NoBanNoWall https://t.co/hjpoYvs8ok",2018-01-26 03:55:49,"https://twitter.com/bboyd1258/status/956737415619719168",NA,NA,0,"#nobannowall"
"1/3 Thank you to @jasminnemendez for hiring me to read at #NoBanNoWall for @TinteroProject. As a result, I was intr<e2><80><a6> https://t.co/2zZXAxPSoJ",2018-01-26 03:53:21,"https://twitter.com/CisnerosCafe/status/956736795118657542",NA,NA,0,"#nobannowall"
"@RepGutierrez @RepGutierrez YES!!! A #DemocratWithASpine (although <e2><80><9c>suspicion<e2><80><9d> is putting it mildly, to say the lea<e2><80><a6> https://t.co/qrZw48Fejn",2018-01-26 03:43:26,"https://twitter.com/alimiano/status/956734296152158209",NA,NA,0,"#nobannowall"
